Book Name,Author,Rating,Customers_Rated,Price
The Psychology of Money,Morgan Housel,4.6 out of 5 stars,"18,665",₹277.00
400 Days,Chetan Bhagat,4.3 out of 5 stars,583,₹156.00
Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,"29,420",₹91.00
Ikigai: The Japanese secret to a long and happy life,Héctor García,4.6 out of 5 stars,"24,201",₹317.00
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,"37,989",₹379.00
Atomic Habits: The life-changing million copy bestseller,James Clear,4.6 out of 5 stars,"26,259",₹512.00
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.6 out of 5 stars,"48,277",₹302.00
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.4 out of 5 stars,"19,450",₹454.00
As a Man Thinketh,James Allen,4.4 out of 5 stars,"4,837",₹56.00
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,4.5 out of 5 stars,"13,406",₹299.00
"Educart CBSE Term 1 Sample Papers Class 10 Bundle of Science, Math Standard, Social Science & English Books For 2022…",Shubham Pathak,4.3 out of 5 stars,104,₹498.99
The Alchemist,Paulo Coelho,4.6 out of 5 stars,"62,545",₹210.00
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for…",Sudha Murty,4.6 out of 5 stars,"10,045",₹191.00
"Educart ICSE Semester 1 MCQ Sample Papers Books Main Subjects Bundle Class 10 - English 1 & 2, Maths, Physics, Chemistry…",Educart,4.3 out of 5 stars,91,₹922.00
Oxford Student Atlas for India - Third Edition,Oxford University Press,4.6 out of 5 stars,"11,268",₹231.00
Indian Polity - For Civil Services and Other State Examinations | 6th Edition,M. Laxmikanth,4.6 out of 5 stars,"16,620",₹608.00
"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book…",Maple Press,4.4 out of 5 stars,"1,935",₹171.00
"Educart TERM 1 MCQ Question Bank Class 10 Bundle 2022 - Maths, Science, English & SST Books (Based on New MCQs Type…",Educart,4.2 out of 5 stars,701,₹455.00
"My Life in Full: Work, Family, and Our Future (With a special Epilogue for India)",Indra K. Nooyi,4.5 out of 5 stars,179,₹471.00
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.5 out of 5 stars,"13,812",₹152.00
CBSE MCQ Bank Science Class 10 Term 1,www.cbse.online,4.5 out of 5 stars,62,₹379.00
"India that is Bharat: Coloniality, Civilisation, Constitution",J Sai Deepak,4.9 out of 5 stars,891,₹599.00
My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern…,Wonder House Books,4.4 out of 5 stars,"11,776",₹85.00
The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"42,458",₹127.00
Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,MTG Editorial Board,4.6 out of 5 stars,"5,353",₹542.00
"Oswaal CBSE MCQs Chapterwise Question Bank For Term I & II, Class 10, English Language & Literature (With the largest…",Oswaal Editorial Board,4.2 out of 5 stars,175,₹173.00
The Monk Who Sold His Ferrari,Robin Sharma,4.5 out of 5 stars,"17,803",₹156.00
A Brief History of Modern India - 2020-21/edition,0,4.5 out of 5 stars,"2,102",0
Picture Books Collection for Early Learning (Set of 12),E C Axus,4.3 out of 5 stars,"11,418",₹215.00
General Knowledge,Dr. Binay Karna,4.4 out of 5 stars,"16,204",₹160.00
"Oswaal CBSE MCQs Chapterwise For Term I & II, Class 10 (Set of 3 Books) Mathematics (Standard), Science, Social Science…",Oswaal Editorial Board,4.2 out of 5 stars,368,₹441.00
CBSE MCQ Bank Mathematics Class 10 Term 1,www.cbse.online,4.4 out of 5 stars,76,₹399.00
Fundamentals of Essay and Answer Writing,Anudeep Durishetty,4.7 out of 5 stars,"1,159",₹404.00
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,4.5 out of 5 stars,"35,208",₹190.00
"Oswaal CBSE MCQs Chapterwise For Term I & II, Class 10, Science (With the largest MCQ Questions Pool for 2021-22 Exam)",Oswaal Editorial Board,4.3 out of 5 stars,206,₹143.00
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,4.5 out of 5 stars,"53,158",₹319.00
Best of Children’s Classics (Set of 5 Books): Perfect Gift Set for Kids,Antoine de Saint-Exupéry,4.4 out of 5 stars,"2,245",₹474.00
CBSE New Pattern Science Class 10 for 2021-22 Exam (MCQs based book for Term 1),Juhi Bhatia Manish Dangwal,4.5 out of 5 stars,94,₹85.00
26 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2020) 11th Edition,Mrunal Patel,4.5 out of 5 stars,"5,429",₹323.00
Certificate Physical And Human Geography; Indian Edition,Goh Cheng Leong,4.5 out of 5 stars,"9,183",₹217.00
CBSE MCQ Bank Social Science Class 10 Term 1,www.cbse.online,4.5 out of 5 stars,13,₹389.00
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6 out of 5 stars,"11,868",₹169.00
CBSE New Pattern English Core Class 12 for 2021-22 Exam (MCQs based book for Term 1),Srishti Agarwal,4.3 out of 5 stars,106,₹85.00
101 Panchatantra Stories for Children: Colourful Illustrated Stories,Om Books Editorial Team,4.5 out of 5 stars,"4,215",₹138.00
Great Stories for Children,Ruskin Bond,4.5 out of 5 stars,"7,213",₹127.00
"Chapterwise MCQs Book for ICSE Class 10 Semester I Exam 2021 : 2000+ New Pattern Questions (Hindi, English I, English II…",Oswal - Gurukul,4.0 out of 5 stars,117,₹289.00
Oswaal CBSE Sample Question Paper Class 10 Science Book (For Term I Nov-Dec 2021 Exam),Oswaal Editorial Board,4.3 out of 5 stars,43,₹158.00
The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,4.5 out of 5 stars,"28,401",₹470.00
"Chapterwise MCQs Book for ICSE Class 10 Semester I Exam 2021 : 2000+ New Pattern Questions (Physics, Chemistry, Maths…",Oswal - Gurukul,4.0 out of 5 stars,116,₹368.00
Yaar Jadugar । यार जादूगर,Nilotpal Mrinal,-1,0,₹199.00
Brijbhoomi Books And Handicrafts® Bhagavad Gita: Yatharoop,Brijbhoomi Books And Handicrafts,4.7 out of 5 stars,"10,086",₹185.00
The Richest Man in Babylon,George S. Clason,4.5 out of 5 stars,"22,420",₹94.00
"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write and Practice Capital Letters, Small Letters, Patterns and…",Wonder House Books,4.3 out of 5 stars,"6,147",₹151.00
A Modern Approach To Verbal & Non-Verbal Reasoning (2 Colour Edition),R.S. Aggarwal,4.4 out of 5 stars,"8,749",₹529.00
Very First Sight Words Sentences Level 1,Dreamland Publications,4.5 out of 5 stars,"6,866",₹140.00
The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"42,458",₹99.00
One Arranged Murder,Chetan Bhagat,4.4 out of 5 stars,"15,152",₹152.00
Chapterwise MCQs Bundle For ICSE Class 10 Semester I Exam 2021 : 2000+ New Pattern Questions (Set Of 2 Books),Oswal - Gurukul,4.0 out of 5 stars,118,₹815.00
"Xam Idea CBSE MCQs Chapterwise For Term I, Class 10 Mathematics, Science & Social Science (Set of 3) (With massive…",Xamidea Editorial Board,4.1 out of 5 stars,61,₹498.00
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.7 out of 5 stars,"38,396",₹409.00
Wuthering Heights,Emily Brontë,4.5 out of 5 stars,"13,792",₹94.00
"Oswaal CBSE Sample Question Paper Class 10 (Set of 4 Books) Science, Social Science, Mathematics Standard, English (For…",Oswaal Editorial Board,4.2 out of 5 stars,116,₹620.00
Mahatma Gandhi Autobiography: The Story Of My Experiments With Truth,Mahatma Gandhi,4.5 out of 5 stars,"4,878",₹94.00
CBSE New Pattern Mathematics Class 12 for 2021-22 Exam (MCQs based book for Term 1),Raju Regar Sagar Verma,4.3 out of 5 stars,81,₹105.00
"Three Thousand Stitches: Ordinary People, Extraordinary Lives",Sudha Murty,4.6 out of 5 stars,"5,388",₹183.00
"Oswaal CBSE MCQs Chapterwise For Term I & II, Class 10, Mathematics (Standard) (With the largest MCQ Questions Pool for…",Oswaal Editorial Board,4.2 out of 5 stars,169,₹147.00
Diamonds in the Dust: Consistent Compounding for Extraordinary Wealth Creation,Saurabh Mukherjea,4.4 out of 5 stars,374,₹297.00
"INDIAN ROOTS, IVY ADMITS: 85 ESSAYS THAT GOT INDIAN STUDENTS INTO THE IVY LEAGUE AND STANFORD",Viral Doshi,4.9 out of 5 stars,21,₹425.00
The Complete Novels of Sherlock Holmes,Arthur Conan Doyle,4.5 out of 5 stars,"11,567",₹129.00
"Karma: A Yogi's Guide to Crafting Your Destiny NEW YORK TIMES, USA TODAY, and PUBLISHERS WEEKLY BESTSELLER , must-read…",Sadhguru,4.7 out of 5 stars,"5,465",₹197.00
Wings of Fire: An Autobiography of Abdul Kalam,Arun Tiwari,4.6 out of 5 stars,"9,812",₹239.00
Moral Story Books for Kids (Pack of 10 Books) | 160 Total Pages | Illustrated Stories,Young Angels Publishing,4.3 out of 5 stars,"2,424",₹225.00
Oswaal CBSE Sample Question Papers Class 10 English Language & Literature Book (For Term I Nov-Dec 2021 Exam),Oswaal Editorial Board,4.9 out of 5 stars,32,₹156.00
The Blue Umbrella,Ruskin Bond,4.5 out of 5 stars,"8,464",₹95.00
Target High 6th Premium Edition,MUTHUVENKATACHALAM S.,4.3 out of 5 stars,29,"₹1,179.00"
CBSE New Pattern Mathematics Class 10 for 2021-22 Exam (MCQs based book for Term 1),A. K. Singh V. K. Mehta,4.5 out of 5 stars,104,₹149.00
How to Stop Worrying and Start Living: Time-Tested Methods for Conquering Worry,Dale Carnegie,4.4 out of 5 stars,"14,940",₹99.00
CTET Success Master Paper 1 for Class 1 to 5 for 2021 Exams,Arihant Experts,4.4 out of 5 stars,83,₹435.00
Pride & Prejudice,Jane Austen,4.5 out of 5 stars,"23,172",₹96.00
How to Win Friends and Influence People,Dale Carnegie,4.5 out of 5 stars,"55,740",₹90.00
Indian Art and Culture for Civil Services and other Competitive Examinations,Nitin Singhania,4.6 out of 5 stars,"5,025",₹545.00
The Joys Of Compounding: The Passionate Pursuit of Lifelong Learning,Gautam Baid,4.6 out of 5 stars,"1,065",₹250.00
"My First 1000 Words: Early Learning Picture Book to Learn Alphabet, Numbers, Shapes and Colours, Transport, Birds and…",Wonder House Books,4.5 out of 5 stars,"3,914",₹142.00
SBI Bank PO 14 Year-wise Preliminary & Mains Solved Papers (2020-13) 2nd Edition,Disha Experts,3.8 out of 5 stars,12,₹228.44
Oswaal CBSE Sample Question Paper Class 10 Mathematics Standard Book (For Term I Nov-Dec 2021 Exam),Oswaal Editorial Board,4.7 out of 5 stars,59,₹140.00
CBSE New Pattern Chemistry Class 12 for 2021-22 Exam (MCQs based book for Term 1),Abhishek Kaushik & Mahendra Rathod,4.4 out of 5 stars,82,₹95.00
General Knowledge 2022,Manohar Pandey,4.3 out of 5 stars,"1,261",₹143.00
CBSE New Pattern Social Science Class 10 for 2021-22 Exam (MCQs based book for Term 1),Aditya Raj Nandini Sharma,4.4 out of 5 stars,74,₹68.00
Why I am an Atheist and Other Works,Bhagat Singh,4.6 out of 5 stars,"3,168",₹97.00
Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,Wonder House Books,4.6 out of 5 stars,"2,039",₹151.00
"The Magic of the Lost Temple: Illustrated, easy to read and much-loved first full length children’s fiction novel by…",Sudha Murty,4.7 out of 5 stars,"4,595",₹169.00
